# name	type	package	section	arguments
*	Function	lisp	numbers	* &rest NUMBERS
*activate-hook*	Variable	editor	variables	-
*after-save-buffer-hook*	Variable	editor	variables	-
*apropos-no-regexp*	Variable	editor	symbols	-
*auto-encoding-alist*	Variable	editor	filesystem	-
*auto-fill-hook	Variable	editor	variables	-
*auto-mode-alist*	Variable	editor	modes	-
*auto-mode-parameter-alist*	Variable	editor	modes	-
*auto-update-per-device-directory*	Variable	lisp	filesystem	-
*before-delete-buffer-hook*	Variable	editor	variables	-
*before-find-file-hook*	Variable	editor	variables	-
*before-grep-hook*	Variable	editor	variables	-
*before-grepd-hook*	Variable	editor	variables	-
*before-save-buffer-hook*	Variable	editor	variables	-
*brackets-is-wildcard-character*	Variable	lisp	variables	-
*buffer-bar-context-menu*	Variable	editor	buffers	-
*buffer-bar-context-menu-buffer*	Variable	editor	buffers	-
*buffer-bar-context-menu-handler*	Variable	editor	buffers	-
*buffer-bar-selected-buffer-to-first*	Variable	editor	buffers	-
*buffer-info-variable-list*	Variable	editor	buffers	-
*buffer-menu-mode-hook*	Variable	editor	menus	-
*buffer-package*	BufferLocal	editor	buffers	-
*change-buffer-colors-hook*	Variable	editor	variables	-
*change-clipboard-hook*	Variable	editor	variables	-
*char-encoding-list*	Variable	editor	text	-
*command-line-args-base-directory*	Variable	editor	system	-
*command-line-mailto-hook*	Variable	editor	variables	-
*command-output-mode-hook*	Variable	editor	modes	-
*create-buffer-hook*	Variable	editor	variables	-
*css-keyword-file*	Variable	editor	modes	-
*css-level*	Variable	editor	modes	-
*css-mode-hook*	Variable	editor	modes	-
*css3-keyword-files*	Variable	editor	modes	-
*dabbrev-search-this-buffer-only*	Variable	editor	text	-
*dabbrevs-no-undo*	Variable	editor	buffers	-
*deactivate-hook*	Variable	editor	variables	-
*debug-output*	Variable	editor	variables	-
*default-buffer-mode*	Variable	editor	buffers	-
*default-eol-code*	Variable	editor	buffers	-
*default-fileio-encoding*	Variable	editor	buffers	-
*default-load-path*	Variable	editor	variables	-
*default-session-directory*	Variable	editor	buffers	-
*default-write-file-directory*	Variable	editor	filesystem	-
*delete-buffer-hook*	Variable	editor	variables	-
*detect-char-encoding-buffer-size*	Variable	editor	text	-
*detect-char-encoding-mode*	Variable	editor	text	-
*diff-mode-hook*	Variable	editor	modes	-
*do-completion	Function	editor	text	*do-completion STRING TYPE &optional WORDP LIST
*drag-and-drop-hook*	Variable	editor	variables	-
*enter-minibuffer-hook*	Variable	editor	minibuffer	-
*eol-cr*	Variable	editor	io	-
*eol-crlf*	Variable	editor	io	-
*eol-lf*	Variable	editor	io	-
*error-regexp-list*	Variable	editor	errors	-
*etc-path*	Variable	editor	variables	-
*executing-macro*	Variable	editor	macros	-
*exit-minibuffer-hook*	Variable	editor	minibuffer	-
*features*	Variable	lisp	system	-
*filer-chdir-hook*	Variable	editor	filer	-
*filer-chdir-primary-p*	Variable	editor	filer	-
*filer-click-toggle-marks-always*	Variable	editor	filer	-
*filer-directories*	Variable	editor	filer	-
*filer-drag-and-drop-helper	Function	editor	filer	*filer-drag-and-drop-helper EFFECT FILES SRC DEST
*filer-dual-window*	Variable	editor	filer	-
*filer-eat-esc*	Variable	editor	filer	-
*filer-echo-filename*	Variable	editor	filer	-
*filer-format-comma*	Variable	editor	filer	-
*filer-guide-text*	Variable	editor	filer	-
*filer-last-command-char*	Variable	editor	filer	-
*filer-last-file-mask*	Variable	editor	filer	-
*filer-left-window-p*	Variable	editor	filer	-
*filer-mark-file-size-unit*	Variable	editor	filer	-
*filer-modal*	Variable	editor	filer	-
